module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs,
lens-work,anytime,New Domain,ND,,workflows/router/init-initiative/workflow.md,lens-work-new-domain,false,@lens,,"Create domain-level initiative with organizational branch",,initiative config,
lens-work,anytime,New Service,NS,,workflows/router/init-initiative/workflow.md,lens-work-new-service,false,@lens,,"Create service-level initiative with organizational branch",,initiative config,
lens-work,anytime,New Feature,NF,,workflows/router/init-initiative/workflow.md,lens-work-new-feature,false,@lens,,"Create feature-level initiative with full branch topology",,initiative config,
lens-work,anytime,Status,ST,,workflows/utility/status/workflow.md,lens-work-status,false,@lens,,"Display current state including initiative phase audience and gate progression",,status display,
lens-work,anytime,Switch Context,SW,,workflows/utility/switch/workflow.md,lens-work-switch,false,@lens,,"Switch active initiative lens or phase",,context switch,
lens-work,anytime,Sync State,SY,,workflows/utility/sync/workflow.md,lens-work-sync,false,@lens,,"Validate and repair state consistency between state.yaml and initiative config",,sync report,
lens-work,anytime,Fix State,FX,,workflows/utility/fix-state/workflow.md,lens-work-fix,false,@lens,,"Rebuild state from event-log.jsonl when state.yaml is corrupted",,state rebuild,
lens-work,anytime,Override State,OV,,workflows/utility/override/workflow.md,lens-work-override,false,@lens,,"Manual state override with safety confirmation",,state override,
lens-work,anytime,Resume,RS,,workflows/utility/resume/workflow.md,lens-work-resume,false,@lens,,"Resume interrupted workflow from last checkpoint",,resume display,
lens-work,anytime,Archive,AR,,workflows/utility/archive/workflow.md,lens-work-archive,false,@lens,,"Archive completed or abandoned initiative",,archive confirmation,
lens-work,anytime,Context,CX,,,lens-work-context,false,@lens,,"Display current context (initiative lens phase review audience branch)",,context display,
lens-work,anytime,Constitution,CO,,workflows/governance/constitution/workflow.md,lens-work-constitution,false,@lens,,"Constitutional governance — create amend or view constitutions",,constitution,
lens-work,anytime,Compliance Check,CC,,workflows/governance/compliance-check/workflow.md,lens-work-compliance,false,@lens,,"Check artifact compliance against constitutions",,compliance report,
lens-work,anytime,Ancestry,AN,,workflows/governance/ancestry/workflow.md,lens-work-ancestry,false,@lens,,"Display constitution inheritance chain",,ancestry display,
lens-work,anytime,Resolve Constitution,RC,,workflows/governance/resolve-constitution/workflow.md,lens-work-resolve,false,@lens,,"Resolve accumulated rules for current context",,resolved rules,
lens-work,anytime,Onboard,OB,,workflows/utility/onboarding/workflow.md,lens-work-onboard,false,@lens,,"Full onboarding (profile credentials repo reconciliation)",,onboarding report,
lens-work,anytime,Bootstrap,BS,,workflows/utility/bootstrap/workflow.md,lens-work-bootstrap,false,@lens,,"Bootstrap repository discovery and documentation",,bootstrap report,
lens-work,anytime,Discover Repos,DR,,workflows/discovery/discover/workflow.md,lens-work-discover,false,@lens,,"Scan and inventory target project repositories",,repo inventory,
lens-work,anytime,Repo Status,RP,,workflows/discovery/repo-status/workflow.md,lens-work-repo-status,false,@lens,,"Check status of all discovered repositories",,repo status,
lens-work,anytime,Domain Map,DM,,workflows/discovery/domain-map/workflow.md,lens-work-domain-map,false,@lens,,"View or edit domain architecture map",,domain map,
lens-work,anytime,Impact Analysis,IA,,workflows/discovery/impact-analysis/workflow.md,lens-work-impact,false,@lens,,"Cross-boundary impact analysis",,impact report,
lens-work,anytime,Recreate Branches,RB,,workflows/utility/recreate-branches/workflow.md,lens-work-recreate-branches,false,@lens,,"Recreate missing git branches (recovery)",,branch recovery,
lens-work,anytime,Fix Story,FS,,workflows/utility/fix-story/workflow.md,lens-work-fix-story,false,@lens,,"Correction loop (Quick-Spec → Review → Quick-Dev)",,story fix,
lens-work,anytime,Help,H,,,lens-work-help,false,@lens,,"Display full command reference with context and next step",,help display,
lens-work,preplan,Pre-Plan,PP,10,workflows/router/pre-plan/workflow.md,lens-work-preplan,true,@lens,,"Launch PrePlan phase (brainstorm research product brief) — small audience",planning_artifacts,product brief,
lens-work,businessplan,Business Plan,BP,20,workflows/router/spec/workflow.md,lens-work-spec,true,@lens,,"Launch BusinessPlan phase (PRD UX) — small audience",planning_artifacts,prd,
lens-work,techplan,Tech Plan,TP,30,workflows/router/tech-plan/workflow.md,lens-work-techplan,true,@lens,,"Launch TechPlan phase (Architecture Tech Decisions API Contracts) — small audience",planning_artifacts,architecture,
lens-work,devproposal,Dev Proposal,DP,40,workflows/router/plan/workflow.md,lens-work-plan,true,@lens,,"Launch DevProposal phase (Epics Stories Readiness) — medium audience",planning_artifacts,epics and stories,
lens-work,devproposal,Story Generation,SG,45,workflows/router/story-gen/workflow.md,lens-work-story-gen,false,@lens,,"Generate stories with estimates and dependencies — medium audience",planning_artifacts,stories,
lens-work,sprintplan,Sprint Plan,SP,50,workflows/router/review/workflow.md,lens-work-review,true,@lens,,"Launch SprintPlan phase (readiness gate sprint planning) — large audience",planning_artifacts,sprint plan,
lens-work,dev,Dev Loop,DV,60,workflows/router/dev/workflow.md,lens-work-dev,true,@lens,,"Launch Dev phase (story implementation code review retro)",,implementation,
